winery,mean_winery
Chateau Dauzac,72.0
Chateau Dereszla,20.0
Chateau Faure Beauséjour,26.0
Chateau Grand Traverse,20.2
Chateau Haut Rian,23.25
Chateau La Calisse,29.0
Chateau La Tour Carnet,52.0
Chateau Lafayette Reneau,22.615384615384617
Chateau Les Amoureuses,28.333333333333332
Chateau Lettau,29.444444444444443
Chateau Malbat,15.0
Chateau Margene,53.111111111111114
Chateau Molyneaux,29.333333333333332
Chateau Montelena,45.0
Chateau Morrisette,18.705882352941178
Chateau Mourgues du Gres,27.0
Chateau Peybonhomme-les-Tours,22.0
Chateau Peyrassol,19.0
Chateau Quattre,60.0
Chateau Reynella,49.5
Chateau Rollat,45.55555555555556
Chateau Saint Louis,15.0
Chateau St. Croix,32.0
Chateau St. Jean,42.2
Chateau Ste. Michelle,26.802139037433154
Chateau Ste. Michelle & Dr. Loosen,29.4
Chateau Walla Walla,42.0
Chateau d'Angludet,33.5
Chateau de Launay,42.5
Chateau de Manissy,23.0
Chateau de Pibarnon,42.5
Chateau de Sadran,21.0
Chateau de l'Oiselinière,23.857142857142858
Chateau la Rame,21.0
Chateau le Grand Verdus,17.6
Chateau les Tuilleries,18.0
Chatel,28.0
Chatelain Desjacques,14.0
Chatham,18.2
Chatom,24.666666666666668
Chatom Vineyards,25.846153846153847
Chatter Creek,39.111111111111114
Chatzivariti,29.0
Chavet Fils,17.571428571428573
Chaza,12.0
Chañarmuyo,19.0
Chef's Coat,20.0
Chehalem,33.765306122448976
Chelsea Goldschmidt,21.6
Chemin des Papes,14.0
Chenoweth,51.0
Chereau Carré,10.0
Cherokee Vineyards,15.5
Cherri d'Acquaviva,17.5
Cherrier Frères,28.666666666666668
Cherry Hill,28.5
Cherry Pie,41.333333333333336
Cherry Tart,18.666666666666668
Cherubino,56.0
Cheryl LaVrar,25.0
Chesebro,26.363636363636363
Chessman,17.75
Chester Kidder,52.3
Cheval Quancard,17.766666666666666
Cheval des Andes,72.0
Chevalier de Lafoux Sainte Anne,15.0
Cheviot Bridge,37.0
Chiara Boschis - E. Pira e Figli,68.0
Chiarello Family Vineyards,41.166666666666664
Chiarito,42.666666666666664
Chic Barcelona,25.0
Chiesa Carlo,27.333333333333332
Chilcas,19.040816326530614
Child's Play,24.0
Chilensis,14.25
Chillhouse,21.0
Chime,16.96
Chimere,38.0
Chimney Rock,67.9
Chinook,31.0
Chiorri,30.0
Chispas,10.0
Chloe,17.5
Chocolate Box,22.1
Cholame,31.0
Chono,14.733333333333333
Chopo,20.5
Chozas Carrascal,19.0
Chrisohoou,25.6
Christian Lazo,30.75
Christian Leperchois,22.0
Christian Moueix,19.0
Christiano Family,27.5
Christie's,43.0
Christine Andrew,21.4
Christophe Cordier,28.0
Christophe Pacalet,14.5
Christophe Pertuzot,18.0
Christopher Michael,15.0
Chronic Cellars,24.185185185185187
Chronicle,52.8
Chrysorroyiatissa,21.5
Chumeia,30.5
Church & State,31.285714285714285
Churchill Cellars,42.0
Churchill's,39.0
Churton,37.0
Château Abelyce,39.0
Château Acker-Perreau,20.0
Château Ad Francos,31.5
Château Aiguilhe Querre,24.0
Château Allégret,17.0
Château Alta Gaïa,20.666666666666668
Château Altimar,27.0
Château Ambe Tour Pourret,40.25
Château Amour,19.333333333333332
Château Ampélia,21.0
Château Andron,18.0
Château Andréa,24.0
Château Aney,20.0
Château Anniche,16.0
Château Anthonic,41.0
Château Argadens,18.0
Château Armandière,24.125
Château Arnaucosse,19.5
Château Arnaud,39.0
Château Arnaud Jouan,25.0
Château Arnauld,41.0
Château Au Grand Paris,13.0
Château Auguste,19.0
Château Avernus,55.0
Château Balac,36.25
Château Balestard,49.0
Château Ballan-Larquette,16.5
Château Baracan,21.0
Château Barbanau,20.11111111111111
Château Barbebelle,20.333333333333332
Château Barbeiranne,21.0
Château Barbé,26.2
Château Bardins,28.0
Château Bardoulet,28.0
Château Baret,27.0
Château Barreyre,22.0
Château Barreyres,23.666666666666668
Château Baston-Brillette,29.0
Château Batailley,65.5
Château Beau-Site,44.0
Château Beau-Séjour Bécot,73.0
Château Beaubois,21.428571428571427
Château Beauchêne,8.0
Château Beaulieu,20.875
Château Beaumont,30.0
Château Beauregard,53.0
Château Beauregard-Ducourt,15.0
Château Beausoleil,13.0
Château Beauséjour,31.22222222222222
Château Beauvillage,33.333333333333336
Château Bel Air,23.5
Château Bel Air Perponcher,21.0
Château Bel Enclos,28.0
Château Bel Orme Martial,18.0
Château Bel-Air,26.0
Château Bel-Air Ortet,36.5
Château Bel-Air Ouÿ,34.0
Château Bela,24.0
Château Belcier,18.0
Château Belgrave,41.333333333333336
Château Belle Assise Coureau,29.0
Château Belle Coline,24.0
Château Belle-Garde,12.0
Château Belle-Vue,25.25
Château Bellegrave du Poujeau,52.0
Château Bellerive,27.0
Château Bellerose Figeac,53.0
Château Bellevue,17.5
Château Bellevue Canterrane,35.0
Château Bellevue Favereau,7.0
Château Bellevue Peycharneau,14.333333333333334
Château Bellevue de Tayac,33.0
Château Bellevue la Forêt,24.181818181818183
Château Bellevue la Randée,11.0
Château Belrose,16.0
Château Bernadotte,28.0
Château Bernés,14.0
Château Berthenon,19.0
Château Bertinerie,27.1
Château Bessan Ségur,27.0
Château Beychevelle,39.0
Château Beynat,22.333333333333332
Château Biac,19.0
Château Bianca,18.678571428571427
Château Bibian,21.0
Château Billeron Bouquey,22.0
Château Blaignan,23.0
Château Blanchereau,20.0
Château Blouin,13.0
Château Bois Cardon,23.5
Château Bois Chantant,20.0
Château Bois Malot,22.0
Château Bois Pertuis,18.25
Château Bois Redon,14.666666666666666
Château Bois de Favereau,18.0
Château Bois de Rolland,29.0
Château Boisson,18.0
Château Bolaire,15.0
Château Bonfort,24.0
Château Bonnet,19.125
Château Bonnin,28.0
Château Borie de Noaillan,16.0
Château Bouissel,24.5
Château Bourbon,14.0
Château Bourdieu,19.0
Château Bourgneuf,36.0
Château Bournac,18.0
Château Bourron,11.0
Château Bourseau,45.333333333333336
Château Bouscaut,39.5
Château Bousquette,23.0
Château Boutisse,27.5
Château Bovila,23.666666666666668
Château Branaire-Ducru,67.4
Château Branas Grand Poujeaux,30.0
Château Brande-Bergère,27.0
Château Brane-Cantenac,72.66666666666667
Château Braude Fellonneau,38.0
Château Brethous,24.375
Château Brillette,31.0
Château Briot,14.416666666666666
Château Brown,45.9
Château Brulescaille,48.0
Château Bréhat,22.0
Château Buisson Reydon,17.0
Château Buisson-Redon,12.8
Château Béard la Chapelle,28.0
Château Bégadanet,25.0
Château Béhèré Courtin,75.5
Château Bélair-Monange,87.0
Château Bélingard,20.17391304347826
Château Cabezac,22.0
Château Cadillac,23.5
Château Cagnas,19.5
Château Cahuzac,17.0
Château Cailleteau Bergeron,17.0
Château Caillou,41.0
Château Cailloux de By,39.0
Château Calissanne,43.0
Château Calon,60.0
Château Calon Ségur,45.0
Château Calvimont,18.333333333333332
Château Camarsac,14.0
Château Cambon la Pelouse,37.0
Château Cambon la Pelousse,22.0
Château Camelot la Chapelle,23.0
Château Camplazens,20.0
Château Candale,53.0
Château Canon,49.0
Château Canon la Gaffelière,85.0
Château Canteloup,20.0
Château Cantelys,47.0
Château Cantenac Brown,56.0
Château Cantin,38.0
Château Cantinot,40.2
Château Cap Léon Veyrin,31.333333333333332
Château Cap Saint-Martin,21.0
Château Cap de Mourlin,54.0
Château Cap l'Ousteau,20.0
Château Capbern,29.5
Château Capdet,22.5
Château Capet-Guillier,45.0
Château Carbonnieux,39.5
Château Carcanieux,27.333333333333332
Château Carignan,24.0
Château Caroline,30.0
Château Carpe Diem,20.5
Château Castegens,19.0
Château Castel des Maures,20.666666666666668
Château Castenet,18.0
Château Castera,24.6
Château Cavalier,18.666666666666668
Château Caville,12.0
Château Cayla,16.0
Château Certan de May de Certan,69.0
Château Chai Neuf,14.0
Château Chamaille,19.0
Château Champ des Treilles,26.0
Château Champ du Moulin,13.0
Château Chantelune,73.0
Château Chantelys,31.0
Château Chantemerle,24.75
Château Chapelle d'Aliénor,17.5
Château Charmail,21.0
Château Chasse-Spleen,62.0
Château Chatard,18.0
Château Chaubinet,14.0
Château Chauvin,42.333333333333336
Château Chavrignac,7.0
Château Cinc-Hilhs,20.0
Château Cissac,30.0
Château Citran,43.0
Château Clairac,19.333333333333332
Château Clauzet,40.5
Château Clerc Milon,54.0
Château Climens,34.0
Château Clos Bourbon,17.0
Château Clos Chaumont,13.0
Château Clos Haut-Peyraguey,38.0
Château Clos Mansio,18.0
Château Clos Moulin Pontet,14.5
Château Cluzan,19.0
Château Clément Saint-Jean,25.0
Château Clément Termes,14.25
Château Clément-Pichon,29.0
Château Comte Devaugelas,16.0
Château Coquillas,33.0
Château Corbin,31.0
Château Corbin Michotte,30.0
Château Corconnac,26.0
Château Cormeil-Figeac,34.0
Château Cos Labory,38.0
Château Cos d'Estournel,62.25
Château Cossieu Coutelin,47.0
Château Cossieu-Coutelin,33.333333333333336
Château Coste Peyrouse,30.0
Château Coudray Montpensier,20.25
Château Coufran,41.0
Château Couhins,28.0
Château Couhins-Lurton,46.0
Château Coussieu-Coutelin,34.0
Château Coussin,22.923076923076923
Château Coustolle,48.0
Château Coutet,35.25
Château Coutinel,21.8
Château Croix Mouton,20.0
Château Croix de Gentis,10.0
Château Croix de Mission,23.666666666666668
Château Cru Godard,24.0
Château Cru de Verdun,24.0
Château Crusquet Sabourin,17.333333333333332
Château Crusquet de Lagarcie,32.333333333333336
Château Cruzeau,26.0
Château Cône-Taillasson Sabourin,23.0
Château Côte Montpezat,25.142857142857142
Château Damase,14.0
Château Dame Jane,16.0
Château Darzac,23.5
Château Dassault,31.666666666666668
Château Dasvin-Bel-Air,25.0
Château Dauphiné Rondillon,38.5
Château Deffends,17.2
Château Denisiane,18.0
Château Destieux,61.0
Château Devise d'Ardilley,28.0
Château Deyrem Valentin,41.0
Château Dina,10.0
Château Doms,22.666666666666668
Château Donjon de Bruignac,17.25
Château Doyac,29.0
Château Dubraud,16.6
Château Duc d'Arnauton,20.0
Château Ducasse,19.0
Château Ducla,23.0
Château Ducluzeau,27.333333333333332
Château Ducros,19.0
Château Ducru Beaucaillou,76.0
Château Duhart-Milon,66.33333333333333
Château Duplessis,33.0
Château Durfort-Vivens,36.666666666666664
Château Duthil,33.0
Château Dutruch Grand Poujeaux,35.0
Château Escot,31.0
Château Espérance,34.0
Château Eugénie,31.75
Château Faizeau,33.0
Château Famaey,24.3
Château Fantou,20.0
Château Faugères,67.0
Château Favray,25.0
Château Fayat,45.0
Château Fayau,23.0
Château Feret Lambert,20.666666666666668
Château Ferran,23.666666666666668
Château Ferrande,37.0
Château Ferrière,38.666666666666664
Château Ferry Lacombe,19.8
Château Figeac,63.0
Château Filhot,40.0
Château Fleur Cardinale,36.0
Château Fleur Haut Gaussens,19.0
Château Fleur de Charme,14.0
Château Fleur de Plaisance,18.666666666666668
Château Fleur du Roc,25.0
Château Fleur la Forge,18.333333333333332
Château Fleur la Mothe,17.75
Château Floreal Laguens,18.0
Château Flotis,24.4
Château Fombrauge,37.333333333333336
Château Fonbadet,42.0
Château Fonchereau,16.0
Château Fonfroide,15.25
Château Fongaban,25.0
Château Fongalan,23.0
Château Fongrave,29.0
Château Fonpiqueyre,17.0
Château Fonplégade,48.0
Château Fonréaud,28.6
Château Fonsèche,18.333333333333332
Château Fontana,19.0
Château Fontenelle,20.0
Château Fontenil,58.0
Château Fortin Plaisance,21.0
Château Fougas,30.0
Château Fourcas Dupré,28.714285714285715
Château Fourcas Hosten,35.0
Château Fourchou,19.0
Château Franc Cardinal,25.0
Château Franc Couplet,12.0
Château Franc Pipeau,33.666666666666664
Château Franc le Maine,63.0
Château Franc-Cardinal,28.0
Château Frank,36.642857142857146
Château Fredignac,25.0
Château Frédignac,24.625
Château Gaby,37.5
Château Gaillard,19.333333333333332
Château Gairoird,15.0
Château Galès,21.0
Château Gamage,21.0
Château Gantonnet,13.0
Château Gardut Haut Cluzeau,18.5
Château Garreau,29.5
Château Garrineau,14.0
Château Gassier,25.833333333333332
Château Gaudin,43.666666666666664
Château Gaudrelle,32.57142857142857
Château Gauthier,27.833333333333332
Château Genlaire,19.0
Château German,21.666666666666668
Château Gigault,17.333333333333332
Château Gigognan,29.0
Château Giscours,63.166666666666664
Château Glorit,30.0
Château Godard Bellevue,21.0
Château Goudichaud,13.5
Château Goumin,19.0
Château Gramond,34.0
Château Grand Barrail Lamarzelle Figeac,42.0
Château Grand Bertin de Saint Clair,47.0
Château Grand Billard,22.0
Château Grand Bireau,29.0
Château Grand Boise,29.181818181818183
Château Grand Bourgeau,15.0
Château Grand Corbin,51.0
Château Grand Destieu,45.0
Château Grand Jean,16.833333333333332
Château Grand Marchand,19.0
Château Grand Maréchaud,21.0
Château Grand Mayne,49.5
Château Grand Meynau,11.0
Château Grand Moulin,25.5
Château Grand Pascaud,11.0
Château Grand Pontet,41.0
Château Grand Secret,18.0
Château Grand Tayac,56.333333333333336
Château Grand-Maison,28.0
Château Grand-Portail,13.0
Château Grand-Puy-Lacoste,43.0
Château Grande Cassagne,17.5
Château Gravas,38.0
Château Graves de Pez,47.0
Château Graville-Lacoste,18.0
Château Gressier Grand Poujeaux,29.0
Château Greysac,27.0
Château Grivière,25.0
Château Gromel Bel Air,18.0
Château Grossombre de Saint-Joseph,15.0
Château Gruaud Larose,74.66666666666667
Château Guerry,28.0
Château Guibeau,18.0
Château Guichot,15.0
Château Guilhem,10.0
Château Guillebot Plaisance,14.0
Château Guillotin,26.0
Château Guitar,11.0
Château Guitignan,27.5
Château Hallet,34.0
Château Hannetot,29.0
Château Hauchat,17.0
Château Haut Bages Libéral,30.666666666666668
Château Haut Barrail,21.0
Château Haut Bellevue,54.0
Château Haut Bergeron,39.0
Château Haut Bertinerie,28.916666666666668
Château Haut Bessac,14.4
Château Haut Beyzac,28.857142857142858
Château Haut Boilon,13.0
Château Haut Brande,14.0
Château Haut Breton Larigaudière,52.5
Château Haut Cabut,20.0
Château Haut Canteloup,15.5
Château Haut Clairbes,15.0
Château Haut Claribes,20.0
Château Haut Colombier,21.333333333333332
Château Haut Cormier,16.0
Château Haut Dina,26.333333333333332
Château Haut Gaudin,17.0
Château Haut Grand Champ,26.0
Château Haut Gravet,59.0
Château Haut Grelot,23.666666666666668
Château Haut Grignon,18.0
Château Haut Guillebot,21.0
Château Haut Lagrange,22.5
Château Haut Laulion,12.0
Château Haut Maurin,11.333333333333334
Château Haut Mazerolles,32.0
Château Haut Millet,16.5
Château Haut Mondain,13.666666666666666
Château Haut Mouleyre,14.2
Château Haut Nadeau,14.0
Château Haut Pasquet,17.0
Château Haut Peyrefaure,19.6
Château Haut Peyruguet,12.5
Château Haut Pingat,13.5
Château Haut Pougnan,14.0
Château Haut Prieur,13.0
Château Haut Seguin,19.0
Château Haut Selve,29.5
Château Haut Sociondo,27.666666666666668
Château Haut Tour de Coutelin,28.0
Château Haut Vieux Chêne,11.0
Château Haut la Pointe,21.428571428571427
Château Haut le Valette,18.0
Château Haut-Bacalan,52.0
Château Haut-Bailly,61.2
Château Haut-Bellevue,36.5
Château Haut-Bergey,55.0
Château Haut-Bernat,33.0
Château Haut-Bourcier,13.0
Château Haut-Brion,79.0
Château Haut-Canteloup,16.0
Château Haut-Cardinal,37.0
Château Haut-Francarney,40.0
Château Haut-Gelineau,18.75
Château Haut-Goujon,42.0
Château Haut-La-Péreyre,18.0
Château Haut-Lansac,18.0
Château Haut-Logat,34.0
Château Haut-Macô,33.0
Château Haut-Mongeat,29.0
Château Haut-Monplaisir,36.23529411764706
Château Haut-Mouleyre,18.0
Château Haut-Mévret,17.0
Château Haut-Peyrous,40.0
Château Haut-Pezat,27.0
Château Haut-Rian,15.5
Château Haut-Simard,31.0
Château Haut-Sorillon,13.0
Château Haut-Vigneau,27.666666666666668
Château Hellha,36.0
Château Henri Bonnaud,23.25
Château Henry de France,19.0
Château Hermitage Saint-Martin,25.333333333333332
Château Hervé-Laroque,27.0
Château Hosanna,73.0
Château Hoste-Blanc,29.0
Château Hostens-Picant,33.0
Château Hourbanon,30.0
Château Hourtin-Ducasse,25.5
Château Hyot,24.6
Château Jacques Noir,30.666666666666668
Château Jamin,12.0
Château Jarr,14.0
Château Jean Faux,18.833333333333332
Château Jean de Bel Air,15.0
Château Jeandeman,53.0
Château Jeanguillon,16.75
Château Jeanrousse,16.0
Château Joanin Bécot,29.333333333333332
Château Joinin,16.333333333333332
Château Joly,18.5
Château Jolys,26.428571428571427
Château Jonc Blanc,29.0
Château Julian,15.5
Château Julien,39.888888888888886
Château Jussas,19.0
Château K,25.75
Château Kalian,25.0
Château Kalon Nodoz,18.0
Château Kirwan,32.666666666666664
Château Ksara,30.5
Château L'Ermitage,22.0
Château L'Escadre,28.5
Château La Barotte,17.5
Château La Bastienne,34.0
Château La Bourrée,14.0
Château La Branne,24.5
Château La Cardonne,27.5
Château La Caussade,23.0
Château La Clare,25.333333333333332
Château La Clarière Laithwaite,29.0
Château La Croix Chantecaille,26.0
Château La Croix Lartigue,43.0
Château La Croix Romane,37.0
Château La Croix de Queynac,19.0
Château La Dournie,23.5
Château La Fleur Beaumont,16.0
Château La Fleur Peyrabon,31.0
Château La Fleur Plaisance,24.0
Château La Fleur Poitou,15.0
Château La Fleur Ribeyrolles,13.0
Château La Fortine,51.0
Château La Gabarre,17.5
Château La Garricq,33.666666666666664
Château La Grange Clinet,23.0
Château La Grange de Bessan,21.0
Château La Greffière,13.333333333333334
Château La Jalgue,16.0
Château La Joya,24.2
Château La Lagune,67.0
Château La Maroutine,22.0
Château La Mission Haut-Brion,39.0
Château La Mothe du Barry,21.875
Château La Nerthe,45.25
Château La Prade,17.0
Château La Rame,21.818181818181817
Château La Roche Bazin,20.0
Château La Rose Gadys,10.0
Château La Rose Saint Germain,11.5
Château La Rose du Pin,16.375
Château La Serre,43.0
Château La Tour Figeac,69.0
Château Labadie,22.0
Château Labastide Orliac,36.0
Château Labastidié,19.333333333333332
Château Labat,31.6
Château Labatut,18.666666666666668
Château Laborde,61.5
Château Labrousse,15.5
Château Labégorce Margaux,38.0
Château Lacaussade Saint-Martin,13.0
Château Lacave,28.0
Château Lacombe Cadiot,17.5
Château Lacombe Noaillac,23.7
Château Ladignac,18.0
Château Lafaurie-Peyraguey,41.5
Château Laffitte Carcasset,33.166666666666664
Château Laffitte Laujac,25.2
Château Lafite Rothschild,84.0
Château Lafleur du Roy,33.0
Château Lafleur-Gazin,32.0
Château Lafon-Rochet,38.25
Château Lafont Menaut,18.0
Château Laforge,51.166666666666664
Château Laforêt,18.0
Château Lagarosse,33.0
Château Lagrange,54.0
Château Lagrange Monbadon,19.0
Château Lagrave,24.0
Château Lagrave Aubert,13.0
Château Lagrézette,33.94117647058823
Château Lajarre,24.0
Château Lalande Balestard,31.0
Château Lalaudey,27.333333333333332
Château Lamartine,28.75
Château Lamothe,20.0
Château Lamothe Barrau,11.0
Château Lamothe Bouscaut,37.5
Château Lamothe Castera,12.5
Château Lamothe de Haux,23.0
Château Lamothe-Bergeron,24.666666666666668
Château Lamothe-Cissac,28.0
Château Lamothe-Vincent,17.576923076923077
Château Lamour,23.75
Château Lamourette,41.0
Château Lamy,19.0
Château Lanbersac,29.0
Château Landat,27.666666666666668
Château Landereau,17.666666666666668
Château Lanessan,17.0
Château Langlais,40.0
Château Langlet,23.5
Château Langoa Barton,63.0
Château Langrange Monbadon,18.0
Château Lansac La Richarde,16.0
Château Lanscade,13.0
Château Lapelletrie,36.0
Château Lapinesse,22.75
Château Laribotte,27.0
Château Laride,19.0
Château Laroche Joubert,19.0
Château Laronde Desormes,19.0
Château Laronde Désormes,23.5
Château Laroque,53.0
Château Larose Perganson,34.333333333333336
Château Larose Trintaudon,30.0
Château Larose-Trintaudon,28.333333333333332
Château Laroze,34.0
Château Larrat,16.0
Château Larrivaux,27.5
Château Larrivet Haut-Brion,24.666666666666668
Château Larroque,15.666666666666666
Château Larteau,17.0
Château Lary,13.25
Château Lascombes,48.0
Château Lassègue,49.0
Château Lastours,14.5
Château Latour à Pomerol,63.0
Château Latour-Laguens,18.0
Château Latour-Martillac,30.5
Château Laubes,13.666666666666666
Château Laubès,16.666666666666668
Château Lauduc,15.363636363636363
Château Laujac,20.0
Château Laulerie,19.444444444444443
Château Laur,49.0
Château Lauretan,17.5
Château Laurou,20.0
Château Lauzade,11.0
Château Lauzanet,13.0
Château Lavergne-Dulong,21.0
Château Laville,13.0
Château Le Bocage,16.0
Château Le Boscq,40.333333333333336
Château Le Bourdieu,18.0
Château Le Cap,22.0
Château Le Clou du Pin,20.0
Château Le Crock,37.5
Château Le Giron,17.0
Château Le Grand Moulin,12.0
Château Le Pin de Belcier,65.0
Château Le Prieuré de Bellegarde,17.0
Château Leboscq,21.666666666666668
Château Lecusse,23.5
Château Les Bertrands,21.333333333333332
Château Les Charmes Godard,15.0
Château Les Combes,22.0
Château Les Gatines,22.0
Château Les Grands Maréchaux,18.0
Château Les Gravières de la Brandille,23.5
Château Les Hauts de Palette,18.4
Château Les Martins,17.0
Château Les Palais,22.5
Château Les Petits,11.0
Château Les Petits Arnaud,20.0
Château Les Trois Manoirs,20.0
Château Lescalle,20.666666666666668
Château Lestage,30.0
Château Lestage Simon,30.714285714285715
Château Lestrille,17.0
Château Lestruelle,23.333333333333332
Château Lieujean,24.333333333333332
Château Lilian Ladouys,37.0
Château Liversan,27.0
Château Los Boldos,18.157894736842106
Château Loudenne,30.0
Château Loumelat,18.333333333333332
Château Lousteauneuf,19.0
Château Loyasson,15.0
Château Luchey-Halde,33.5
Château Lussan,11.0
Château Lynch-Bages,63.0
Château Lynch-Moussas,43.333333333333336
Château Lyonnat,52.0
Château Lécuyer,43.0
Château Léognan,43.0
Château Léon,22.5
Château Léoube,28.23076923076923
Château Léoville Barton,65.5
Château Léoville Las Cases,62.666666666666664
Château Léoville Poyferré,61.5
Château Macalan,15.0
Château Macquin,23.0
Château Magdeleine Bouhou,22.5
Château Magnan-Figeac,30.5
Château Magneau,34.0
Château Magnol,25.428571428571427
Château Magondeau,22.666666666666668
Château Maine d'Arman,20.0
Château Maine-Gazin,26.0
Château Maison Blanche,28.0
Château Maison Neuve,24.0
Château Maison Noble,15.142857142857142
Château Maison Noble Saint Martin,21.0
Château Majoureau,17.0
Château Majureau Sercillan,17.0
Château Malaire,27.0
Château Malartic-Lagravière,52.333333333333336
Château Malavieille,29.0
Château Malbat,16.4
Château Malbec,22.0
Château Malescasse,29.0
Château Malherbe,17.0
Château Mancèdre,50.0
Château Mangot,25.0
Château Manon la Lagune,28.666666666666668
Château Marac,17.5
Château Margaux,72.5
Château Margüi,27.428571428571427
Château Maris,23.666666666666668
Château Marjosse,13.5
Château Marot,11.0
Château Marquis de Terme,27.5
Château Marsau,33.666666666666664
Château Maréchaux,15.0
Château Mas Neuf,26.5
Château Maubert,30.0
Château Maucaillou,24.0
Château Maucamps,31.0
Château Maucoil,38.75
Château Maupague,18.666666666666668
Château Maurac,26.666666666666668
Château Mauvesin Barton,33.333333333333336
Château Mayne Guyon,15.666666666666666
Château Mayne Mazerolles,16.0
Château Mayne Vieil,26.0
Château Mazails,17.0
Château Mazetier,16.0
Château Meillier,16.0
Château Merlet,16.333333333333332
Château Metairie Neuve,14.0
Château Meyney,44.0
Château Meyre,24.333333333333332
Château Mezain,16.0
Château Mille-Roses,50.0
Château Minuty,26.857142857142858
Château Mirambeau Papin,24.0
Château Miraval,26.333333333333332
Château Mirefleurs,19.0
Château Mission Saint Vincent,18.333333333333332
Château Monbadon,27.0
Château Monbousquet,62.0
Château Monbrison,45.0
Château Moncabrier,18.0
Château Moncets,29.333333333333332
Château Monconseil Gazin,18.0
Château Monconseil-Gazin,24.0
Château Moncontour,28.0
Château Monfort Bellevue,17.0
Château Mongravey,32.666666666666664
Château Mont-Pérat,19.0
Château Mont-Redon,32.4
Château Montaiguillon,32.0
Château Montaud,16.5
Château Montcabrier,15.0
Château Montet,26.0
Château Montlandrie,28.0
Château Montlau,21.0
Château Montlisse,31.0
Château Montrose,58.5
Château Motte Maucourt,12.0
Château Mougneaux,16.0
Château Moulin Haut-Laroque,18.0
Château Moulin Lafitte,24.0
Château Moulin Saint-Georges,46.0
Château Moulin de  Clotte,13.0
Château Moulin de Beauséjour,15.0
Château Moulin de Bel-Air,39.0
Château Moulin de Canhaut,24.4
Château Moulin de Clotte,21.0
Château Moulin de Grillet,83.0
Château Moulin de Guiet,27.0
Château Moulin de Mallet,19.0
Château Moulin de Vignolle,11.0
Château Moulin de la Bridane,33.0
Château Moulin de la Rose,73.0
Château Mouton Rothschild,64.0
Château Moya,26.5
Château Musar,28.25
Château Myon de l'Enclos,60.0
Château Mémoires,15.0
Château Méric,23.0
Château Métairie Neuve,24.0
Château Mézain,14.0
Château Nardou,23.0
Château Naudeau,12.0
Château Nenin,27.5
Château Nicot,14.5
Château Noaillac,21.0
Château Noblet,16.6
Château Notre Dame du Quatourze,10.0
Château Nozières,25.25
Château Noël Les Charmes,21.0
Château Olivier,41.2
Château Ollieux Romanis,26.0
Château Pabus,33.0
Château Pailhas,31.0
Château Paloumey,33.0
Château Panchille,15.5
Château Pape Clément,67.0
Château Paradis,25.571428571428573
Château Pas du Cerf,17.857142857142858
Château Patache d'Aux,26.833333333333332
Château Paveil de Luze,33.5
Château Pavie Macquin,73.0
Château Pavillon Bel-Air,49.0
Château Pavillon de Boyrein,18.0
Château Peneau,16.0
Château Penin,17.3
Château Perthus,20.0
Château Pesquié,35.0
Château Petit Moulin,16.0
Château Petit-Freylon,16.2
Château Peugeais,20.5
Château Peuy Saincrit,15.5
Château Pey La Tour,14.0
Château Pey de Faure,11.0
Château Pey la Tour,19.88888888888889
Château Peychaud,19.5
Château Peyfaures,27.5
Château Peymouton,32.5
Château Peynaud-Bagnac,20.0
Château Peyrabon,25.0
Château Peyredon Lagravette,25.6
Château Peyredoulle,19.0
Château Peyros,32.10526315789474
Château Philippe-le-Hardi,30.666666666666668
Château Phélan-Ségur,34.5
Château Pibran,35.0
Château Pichon Longueville,64.0
Château Pichon Longueville Comtesse de Lalande,71.0
Château Picoron,22.0
Château Picque Caillou,34.666666666666664
Château Pierrail,19.0
Château Pierre de Montignac,24.75
Château Pierre-Bise,42.0
Château Pierrousselle,17.0
Château Pigoudet,17.0
Château Pilet,19.3
Château Pillebois,20.333333333333332
Château Pindefleurs,22.5
Château Pipeau,23.0
Château Piron,28.0
Château Plaisance,27.333333333333332
Château Platon,19.0
Château Plince,34.0
Château Poitevin,20.333333333333332
Château Pomeys,19.0
Château Pontac Monplaisir,33.0
Château Pontet-Canet,77.5
Château Pontoise Cabarrus,25.5
Château Ponzac,30.22222222222222
Château Potelle,52.666666666666664
Château Potensac,29.0
Château Preuillac,38.75
Château Prieuré Borde-Rouge,27.0
Château Prieuré-Lichine,59.0
Château Puisseguin la Rigodrie,27.0
Château Puy Marceau,14.0
Château Puy Mouton,29.0
Château Puy Rigaud,18.0
Château Puy-Servain,37.5
Château Puyanché,22.5
Château Puygueraud,19.0
Château Pégau,21.5
Château Queyssard,12.5
Château Quinsac,20.0
Château Quintus,44.0
Château Rahoul,32.0
Château Ramafort,25.333333333333332
Château Ramage la Batisse,27.666666666666668
Château Rauzan Despagne,21.666666666666668
Château Rauzan-Gassies,51.5
Château Rauzan-Ségla,46.0
Château Recougne,16.428571428571427
Château Renard,27.0
Château Renard Mondesir,36.0
Château Respide-Médeville,41.0
Château Revelette,26.333333333333332
Château Reverdi,30.333333333333332
Château Reynon,24.25
Château Reysson,25.0
Château Ribaute,15.5
Château Ricaud,18.666666666666668
Château Rieussec,43.0
Château Rimauresq,23.25
Château Riotor,23.0
Château Rivensan,18.0
Château Rives-Blanques,24.333333333333332
Château Robin des Moines,28.0
Château Roc Meynard,18.25
