province,mean_province
North Carolina,20.736842105263158
North Dalmatia,27.0
Northeastern Italy,25.50632911392405
Northern Cape,19.0
Northern Spain,23.942857142857143
Northwestern Italy,24.363636363636363
Obidos,29.571428571428573
Ohio,17.666666666666668
Olifants River,21.0
Ontario,30.523809523809526
Oregon,32.83832933653078
Other,18.07488986784141
Overberg,28.571428571428573
Paardeberg,20.0
Paarl,27.322033898305083
Pafos,20.666666666666668
Pageon,21.25
Palmela,21.94736842105263
Panciu,24.5
Pangeon,31.714285714285715
Patras,24.0
Peljesac,24.25
Peloponnese,19.869565217391305
Pennsylvania,24.4
Península de Setúbal,19.603448275862068
Peumo,27.681818181818183
Pfalz,27.161073825503355
Philadelphia,29.0
Piedmont,42.44757910789173
Pinto Bandeira,35.333333333333336
Pirque,28.5
Pitsilia Mountains,24.0
Pocerina,27.0
Podunavlje,18.6
Polkadraai Hills,14.5
Port,38.66203703703704
Portugal,27.5
Portuguese Table Wine,19.6
Primorska,18.333333333333332
Progreso,20.666666666666668
Provence,21.75073028237585
Puente Alto,31.0
Rapel Valley,18.62
Rapsani,31.333333333333332
Recas,14.5
Requinoa,29.0
Retsina,27.0
Rheingau,34.325892857142854
Rheinhessen,23.343478260869563
Rhode Island,52.0
Rhône Valley,28.973964497041422
Ribatejano,21.307692307692307
Ribatejo,26.692307692307693
Rio Claro,19.8
Robertson,22.17283950617284
Romania,13.25
Sagrada Familia,23.5
Samos,28.333333333333332
Samson,27.636363636363637
San Antonio,22.916666666666668
San Clemente,18.0
San Jose,20.5
San Vicente,31.0
Santa Catarina,23.0
Santa Cruz,34.0
Santorini,26.044444444444444
Sebes,23.333333333333332
Serra Gaúcha,12.916666666666666
Serra do Sudeste,13.0
Setubal,20.3125
Shomron,21.555555555555557
Sicily & Sardinia,26.16842105263158
Simonsberg-Paarl,23.75
Simonsberg-Stellenbosch,37.515151515151516
Sithonia,24.0
Slovenia,22.0
Slovenska Istra,24.0
Sopron,22.333333333333332
South Africa,27.25
South Australia,30.27221702525725
South Island,20.666666666666668
Southern Italy,26.393117831074036
Southwest France,24.896356275303642
Spain Other,20.884615384615383
Spanish Islands,27.833333333333332
Steiermark,21.75
Stellenbosch,31.478386167146976
Sterea Ellada,16.0
Swartland,29.93103448275862
Szekszárd,22.5
Südburgenland,40.0
Südoststeiermark,27.705882352941178
Südsteiermark,27.2
Table wine,13.0
Tarnave,10.0
Tasmania,40.5
Tejo,17.139622641509433
Terras do Dão,16.75
Terras do Sado,24.75
Texas,19.529411764705884
Thermenregion,29.5
Thessalikos,25.0
Thrace,20.384615384615383
Thracian Valley,20.07843137254902
Thraki,25.0
Ticino,43.0
Tikves,20.90909090909091
Tokaj,26.666666666666668
Tokaji,28.46153846153846
Traisental,31.878048780487806
Trás-os-Montes,23.0
Tulbagh,47.833333333333336
Turkey,20.9375
Tuscany,37.71070350592059
Távora-Varosa,27.0
Ukraine,17.214285714285715
Upper Galilee,26.321428571428573
Urla-Thrace,32.0
Uruguay,18.59090909090909
Valais,31.0
Vale Trentino,10.5
Vale dos Vinhedos,25.285714285714285
Valle de Guadalupe,21.79310344827586
Veneto,31.605466735430635
Vermont,34.333333333333336
Victoria,32.780392156862746
Vienna,28.21153846153846
Viile Timis,13.0
Viile Timisului,14.2
Villány,29.625
Vin de Pays de Velvendo,26.0
Vinho Espumante,25.75
Vinho Espumante de Qualidade,24.5
Vinho Verde,16.50297619047619
Vinho da Mesa,41.0
Vipavska Dolina,33.75
Virginia,23.20605187319885
Vlootenburg,31.0
Vânju Mare,18.0
Wachau,34.945378151260506
Wagram,28.0
Wagram-Donauland,30.413793103448278
Waiheke Island,39.9
Waipara,30.73913043478261
Waipara Valley,31.818181818181817
Wairarapa,22.166666666666668
Wairau Valley,25.90909090909091
Waitaki Valley,46.0
Walker Bay,29.125
Washington,32.079846020116726
Washington-Oregon,26.714285714285715
Weinland Österreich,17.928571428571427
Weinviertel,26.1625
Wellington,25.05
Western Australia,31.266932270916335
Western Cape,19.141078838174273
Wiener Gemischter Satz,26.869565217391305
Württemberg,32.8421052631579
Zenata,22.789473684210527
Österreichischer Perlwein,15.666666666666666
Österreichischer Sekt,31.358490566037737
Štajerska,21.571428571428573
Župa,32.5
